Turns,z (mm),Δm (g),By
-50,-31.75,0.524,0.293739429
-49,-31.115,0.523,0.293178857
-48,-30.48,0.518,0.290376
-47,-29.845,0.518,0.290376
-46,-29.21,0.511,0.286452
-45,-28.575,0.504,0.282528
-44,-27.94,0.499,0.279725143
-43,-27.305,0.49,0.27468
-42,-26.67,0.475,0.266271429
-41,-26.035,0.462,0.258984
-40,-25.4,0.447,0.250575429
-39,-24.765,0.429,0.240485143
-38,-24.13,0.415,0.232637143
-37,-23.495,0.401,0.224789143
-36,-22.86,0.379,0.212456571
-35,-22.225,0.357,0.200124
-34,-21.59,0.34,0.190594286
-33,-20.955,0.324,0.181625143
-32,-20.32,0.3,0.168171429
-31,-19.685,0.263,0.147430286
-30,-19.05,0.235,0.131734286
-29,-18.415,0.205,0.114917143
-28,-17.78,0.176,0.098660571
-27,-17.145,0.14,0.07848
-26,-16.51,0.093,0.052133143
-25,-15.875,0.054,0.030270857
-24,-15.24,-0.003,-0.001681714
-23,-14.605,-0.06,-0.033634286
-22,-13.97,-0.117,-0.065586857
-21,-13.335,-0.182,-0.102024
-20,-12.7,-0.24,-0.134537143
-19,-12.065,-0.3,-0.168171429
-18,-11.43,-0.358,-0.200684571
-17,-10.795,-0.413,-0.231516
-16,-10.16,-0.462,-0.258984
-15,-9.525,-0.511,-0.286452
-14,-8.89,-0.551,-0.308874857
-13,-8.255,-0.588,-0.329616
-12,-7.62,-0.619,-0.346993714
-11,-6.985,-0.646,-0.362129143
-10,-6.35,-0.667,-0.373901143
-9,-5.715,-0.691,-0.387354857
-8,-5.08,-0.707,-0.396324
-7,-4.445,-0.72,-0.403611429
-6,-3.81,-0.735,-0.41202
-5,-3.175,-0.743,-0.416504571
-4,-2.54,-0.752,-0.421549714
-3,-1.905,-0.76,-0.426034286
-2,-1.27,-0.762,-0.427155429
-1,-0.635,-0.764,-0.428276571
0,0,-0.764,-0.428276571
1,0.635,-0.767,-0.429958286
2,1.27,-0.769,-0.431079429
3,1.905,-0.769,-0.431079429
4,2.54,-0.769,-0.431079429
5,3.175,-0.768,-0.430518857
6,3.81,-0.766,-0.429397714
7,4.445,-0.756,-0.423792
8,5.08,-0.75,-0.420428571
9,5.715,-0.739,-0.414262286
10,6.35,-0.727,-0.407535429
11,6.985,-0.714,-0.400248
12,7.62,-0.695,-0.389597143
13,8.255,-0.677,-0.379506857
14,8.89,-0.653,-0.366053143
15,9.525,-0.63,-0.35316
16,10.16,-0.6,-0.336342857
17,10.795,-0.567,-0.317844
18,11.43,-0.53,-0.297102857
19,12.065,-0.489,-0.274119429
20,12.7,-0.446,-0.250014857
21,13.335,-0.399,-0.223668
22,13.97,-0.352,-0.197321143
23,14.605,-0.312,-0.174898286
24,15.24,-0.273,-0.153036
25,15.875,-0.24,-0.134537143
26,16.51,-0.208,-0.116598857
27,17.145,-0.183,-0.102584571
28,17.78,-0.159,-0.089130857
29,18.415,-0.139,-0.077919429
30,19.05,-0.12,-0.067268571
31,19.685,-0.105,-0.05886
32,20.32,-0.093,-0.052133143
33,20.955,-0.083,-0.046527429
34,21.59,-0.076,-0.042603429
35,22.225,-0.068,-0.038118857
36,22.86,-0.062,-0.034755429
37,23.495,-0.058,-0.032513143
38,24.13,-0.055,-0.030831429
39,24.765,-0.052,-0.029149714
40,25.4,-0.051,-0.028589143
41,26.035,-0.047,-0.026346857
42,26.67,-0.045,-0.025225714
43,27.305,-0.044,-0.024665143
44,27.94,-0.044,-0.024665143
45,28.575,-0.042,-0.023544
46,29.21,-0.043,-0.024104571
47,29.845,-0.04,-0.022422857
48,30.48,-0.04,-0.022422857
49,31.115,-0.037,-0.020741143
50,31.75,-0.039,-0.021862286
